Wrap up;Заворачивать
Consider;Рассматривать
Encounter;Столкновение
Bait;Приманка
Sheltered;Защищенный
Excited;Возбужденный
Close out;Закрыть
Voluntarily;Добровольно
Open up;Открыться
Accounting;Учитывая
Hang up;Положить трубку
Escapism;Побег от реальности
Mislead;Ввести в заблуждение
Steamy;Насыщенный
Flawless;Безупречный
Unwarranted;Необоснованный
Tingling;Покалывание
Raise;Поднимать
Obsession;Одержимость
Evidence;Доказательство
Lend;Предоставлять
Mingle;Смешивать
Get it over;Покончить, пройти
Doomed;Обречен
Cover up;Прикрыть
Bother;Беспокоить
Put on;Надеть
Lit up;Светиться
Occur;Происходить
Circumstances;Обстоятельства
Stirring;Перемешивание
Furious;Яростный
Glimmer;Проблеск
Take out;Вытаскивать
Climax;Кульминация
Blame;Обвинять
Hang on;Держаться
Knave;Негодяй
Peril;Опасность
Pushover;Слабак
Slightest;Малейший
Complaint;Жалоба
Coated;Покрытый
Carry;Нести
Getting all tense;Весь напряжен
Get smth off the ground;Запустить что-либо
Glutton;Обжора
Harm;Вред
Literally;Буквально
Essence;Сущность
Pointless;Бессмысленный
Ultimately;В конечном счете
Thorough;Тщательный
Find out;Узнать
Apply;Подать заявку
Fishy;Подозрительно
Dam;Плотина
Dont care;Не волнует
Conceited;Высокомерный
Concede;Уступать
Deceitful;Лживый
Stubborn;Упрямый
Senile;Дряхлый
Silly;Глупый
I figured;Я полагал
Hint;Намек
Election;Выборы
Assets;Ресурсы
Wound;Рана
Set up;Настраивать, устанавливать
Schedule;Расписание
Head out;Выйти
Botch;Провал
Ordinarily;Обычно
Straight;Прямой
Make up;Помириться
Cozy;Уютный
Devastated;Потрясенный, опустошенный
Endure;Терпеть
Spark;Искра
Give in;Сдаваться (кому-то)
Coward;Трус
Up until now;До этого момента
District;Округ
Affect;Влиять
Afterwards;Впоследствии
Regret;Сожалеть
Endeavors;Усилия
Jewel;Драгоценность
Merit;Цена
Fitting;Подходящий
Rob;Грабить, лишать
Up to me;Решать мне
Due to;Благодаря
Reciprocity;Взаимность
Neat;Аккуратный
Overbearing;Властный
General;Общий
Sunset;Закат
Approach;Приближение
Advantage;Преимущество
Fleeting;Мимолетный
Snap out;Избавиться
Appealing;Привлекательный
Recap;Резюме
Effort;Усилие
Clue;Подсказка
Typically;Обычно
Purpose;Цель
